pcap_id,modeling_group_key,binary_label,attack_family,attack_type,benign_category,source_parquet_path,source_row_count,sampling_mode,group_budget,allocated_sample_rows,reservoir_seed,output_parquet_path,output_row_count,output_file_size,selection_sha256,status,resumed
ARP_Spoofing_train-96f95da2dd4aca68,Spoofing|ARP_Spoofing,ATTACK,Spoofing,ARP_Spoofing,,data/features/v1/train/ARP_Spoofing_train-96f95da2dd4aca68.parquet,6423,full,,6423,8238767319720660737,data/modeling/v1/views/group_balanced/fit/ARP_Spoofing_train-96f95da2dd4aca68.parquet,6423,365642,b322e5a0a9da25c6d4a40b81d9df1ef844320617efee4ecdb99bab47e9f6c8b1,ok,false
Active-75691db1b5d9bcb7,benign|singleton|Active,BENIGN,,,profiling_active,data/features/v1/train/Active-75691db1b5d9bcb7.parquet,41622,full,,41622,3501470766380247720,data/modeling/v1/views/group_balanced/fit/Active-75691db1b5d9bcb7.parquet,41622,2484332,48174468eb95aa20cac1c70f5c1d1df309ae06b0257baf81c08e7d5bf6b05a85,ok,false
ActiveBroker-773ce2fbdc89f2e6,benign|singleton|ActiveBroker,BENIGN,,,profiling_active,data/features/v1/train/ActiveBroker-773ce2fbdc89f2e6.parquet,79238,full,,79238,13286549122630467269,data/modeling/v1/views/group_balanced/fit/ActiveBroker-773ce2fbdc89f2e6.parquet,79238,3885796,471f63a77ad188d0787e43ae42aacebf95dcf4a7adbb88fe3c3ff0c57738e65e,ok,false
Benign_train-afa71a594c44d5e9,benign|publisher|Benign_train,BENIGN,,,publisher_benign,data/features/v1/train/Benign_train-afa71a594c44d5e9.parquet,77427,full,,77427,6505903282206787622,data/modeling/v1/views/group_balanced/fit/Benign_train-afa71a594c44d5e9.parquet,77427,4251155,a3249af1c369186760554a51a4ba24bf17fc67cfc28ad1567463f5a4feb01f9b,ok,false
Blink_Camera_LAN_MIC-de6bc19993839f4f,benign|device|Blink_Camera,BENIGN,,,profiling_interaction,data/features/v1/train/Blink_Camera_LAN_MIC-de6bc19993839f4f.parquet,857,full,,857,9320950492427274421,data/modeling/v1/views/group_balanced/fit/Blink_Camera_LAN_MIC-de6bc19993839f4f.parquet,857,54164,b734eee2b5203559c3fa7399a192e2f2171d3c35686e58ddbbb4b2f0ad5770ec,ok,false
Blink_Camera_LAN_WATCH-3f8bf69fb1069588,benign|device|Blink_Camera,BENIGN,,,profiling_interaction,data/features/v1/train/Blink_Camera_LAN_WATCH-3f8bf69fb1069588.parquet,751,full,,751,8600034854804023402,data/modeling/v1/views/group_balanced/fit/Blink_Camera_LAN_WATCH-3f8bf69fb1069588.parquet,751,47698,8a88dec08ef916b7bb163a16d2e86726415f77a419c42b869ebfde7470360122,ok,false
Blink_Camera_WAN_MIC-e15dc3ec7ec45279,benign|device|Blink_Camera,BENIGN,,,profiling_interaction,data/features/v1/train/Blink_Camera_WAN_MIC-e15dc3ec7ec45279.parquet,885,full,,885,901913809987852290,data/modeling/v1/views/group_balanced/fit/Blink_Camera_WAN_MIC-e15dc3ec7ec45279.parquet,885,55521,41c1db567192689940c94f5f4240b167ad3a590f72f3ac75acd9fc8a5811268e,ok,false
Blink_Camera_WAN_WATCH-d368ff79b64700f1,benign|device|Blink_Camera,BENIGN,,,profiling_interaction,data/features/v1/train/Blink_Camera_WAN_WATCH-d368ff79b64700f1.parquet,632,full,,632,1946236546647152785,data/modeling/v1/views/group_balanced/fit/Blink_Camera_WAN_WATCH-d368ff79b64700f1.parquet,632,42249,a692991a8681175ba237cda8a35efb7ca3b954f08c04705da0168bbe2a561155,ok,false
Blink_Mini_Camera_Power-ae915edb988f5bdc,benign|device|Blink_Camera,BENIGN,,,profiling_power,data/features/v1/train/Blink_Mini_Camera_Power-ae915edb988f5bdc.parquet,15,full,,15,7804698020378024726,data/modeling/v1/views/group_balanced/fit/Blink_Mini_Camera_Power-ae915edb988f5bdc.parquet,15,11963,d564b25032ab7c3526d2f5fbcd17c45b43c4c86013bdd8ed3ee7a42e3884b56b,ok,false
Ecobee_Camera_LAN_MIC-bd23bc998ec6fbae,benign|device|Ecobee_Camera,BENIGN,,,profiling_interaction,data/features/v1/train/Ecobee_Camera_LAN_MIC-bd23bc998ec6fbae.parquet,1547,full,,1547,6265148604789793290,data/modeling/v1/views/group_balanced/fit/Ecobee_Camera_LAN_MIC-bd23bc998ec6fbae.parquet,1547,93371,ec29f8b485038a939ec1eaa24802e5b2dc255407bc3c6af971d6e2a622537369,ok,false
