group,group_kind,feature_name,pcap_count,row_count,nonfinite_count,zero_count,nonzero_count,min,max,mean,std,p01,p50,p95,p99,p99_9,percentile_method,percentile_sample_size,is_constant
DDoS,other,window_span_seconds,24,19112074,0,778648,18333426,0.0,2.0082409381866455,0.0007080993524999384,0.013279822967864273,0.0,0.00036406517028808594,0.0014708161354064914,0.0026209449768066495,0.005624065637588681,bounded_sample,200000,false
DDoS,other,iat_mean_seconds,24,19112074,0,778649,18333425,0.0,0.0836767057577769,2.9505910366165467e-05,0.0005533259826598322,0.0,1.5328327814737957e-05,6.095618009567249e-05,0.00011011958122253418,0.00026561817526817336,bounded_sample,200000,false
DDoS,other,iat_std_seconds,24,19112074,0,778649,18333425,0.0,0.2767818903012598,8.972335149599646e-05,0.0013233125866891542,0.0,4.6124290417535934e-05,0.00020727683751029842,0.0004352529089374912,0.0011032336031205662,bounded_sample,200000,false
DDoS,other,iat_p50_seconds,24,19112074,0,10903620,8208454,0.0,0.04788053035736084,1.2596408825650843e-06,8.416048427065951e-05,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,9.59634780883789e-05,bounded_sample,200000,false
DDoS,other,iat_p95_seconds,24,19112074,0,994085,18117989,0.0,0.8501325964927652,0.00011998023822041745,0.0029249671161250173,0.0,6.217956542968737e-05,0.00028146684169769176,0.0004181892871856712,0.0008578662514686647,bounded_sample,200000,false
DDoS,other,frame_length_mean,24,19112074,0,0,19112074,53.52,1514.0,61.63876411947757,34.6066599574265,60.0,60.0,60.0,61.88,289.44,bounded_sample,200000,false
DDoS,other,frame_length_std,24,19112074,0,18576002,536072,0.0,726.4181671737018,2.177099427803042,30.93223544400933,0.0,0.0,0.0,7.446448818060863,465.9948428899187,bounded_sample,200000,false
DDoS,other,frame_length_min,24,19112074,0,0,19112074,42.0,1514.0,60.22665781850781,17.728025333127686,60.0,60.0,60.0,60.0,60.0,bounded_sample,200000,false
DDoS,other,frame_length_max,24,19112074,0,0,19112074,60.0,1514.0,67.24918750314592,87.71146373949055,60.0,60.0,60.0,100.0,1494.0,bounded_sample,200000,false
DDoS,other,ipv4_ratio,24,19112074,0,0,19112074,0.28,1.0,0.9999268734518294,0.003223496347892151,1.0,1.0,1.0,1.0,1.0,bounded_sample,200000,false
DDoS,other,ipv6_ratio,24,19112074,0,19110664,1410,0.0,0.36,3.158212970502311e-06,0.000392358330561548,0.0,0.0,0.0,0.0,0.0,bounded_sample,200000,false
