group,pcap_id,pcap_path,packet_count,arp_packet_count,valid_identity_obs,unique_sender_ip_count,unique_sender_mac_count,conflict_ip_count,conflict_obs_count,conflict_obs_ratio,novel_mac_claim_count,mapping_transition_count,first_conflict_event_count,max_macs_per_sender_ip,conflict_packet_distance_count,conflict_packet_distance_mean,conflict_packet_distance_p50,conflict_packet_distance_p95,conflict_packet_distance_min,conflict_packet_distance_max,conflict_time_distance_count,conflict_time_distance_mean,conflict_time_distance_p50,conflict_time_distance_p95,conflict_time_distance_min,conflict_time_distance_max
profiling benign,Active-75691db1b5d9bcb7,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,1040643,17339,17293,33,12,0,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,ActiveBroker-773ce2fbdc89f2e6,data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,1981055,46090,46090,15,3,10,16578,0.3596875678021263,10,10,10,2,10,1371164.9,1373708.0,1373771.1,1361042.0,1373772.0,10,1465664.7688222409,1465799.9369949102,1465803.0095156669,1465129.7274289131,1465803.0097379684
profiling benign,Blink_Camera_LAN_MIC-de6bc19993839f4f,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_LAN_MIC.pcap,21455,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,Blink_Camera_LAN_WATCH-3f8bf69fb1069588,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_LAN_WATCH.pcap,18821,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,Blink_Camera_WAN_MIC-e15dc3ec7ec45279,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_WAN_MIC.pcap,22173,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,Blink_Camera_WAN_WATCH-d368ff79b64700f1,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_WAN_WATCH.pcap,15857,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,Blink_Mini_Camera_Power-ae915edb988f5bdc,data/raw/WiFI_and_MQTT/profiling/PCAP/Power/Blink_Mini_Camera_Power.pcap,568,6,6,2,2,0,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,Ecobee_Camera_LAN_MIC-bd23bc998ec6fbae,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_LAN_MIC.pcap,38731,22,22,2,2,0,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,Ecobee_Camera_LAN_WATCH-86027c5a7abe11b1,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_LAN_WATCH.pcap,36647,18,18,2,2,0,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,Ecobee_Camera_Power-670935afbd6dd632,data/raw/WiFI_and_MQTT/profiling/PCAP/Power/Ecobee_Camera_Power.pcap,2651,21,12,2,2,0,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,Ecobee_Camera_WAN_MIC-9f00e38f021daf12,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_WAN_MIC.pcap,35853,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,Ecobee_Camera_WAN_WATCH-d8fd5b4e4a5384d9,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_WAN_WATCH.pcap,33376,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,M1T_Camera_LAN_MIC-82292e094d4c92fc,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_MIC.pcap,16106,12,12,2,2,0,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,M1T_Camera_LAN_PHOTO-5c311124058e65a8,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_PHOTO.pcap,1439,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,M1T_Camera_LAN_PRECORDING-52238a5ec47bd101,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_PRECORDING.pcap,8484,8,8,2,2,0,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,M1T_Camera_LAN_WATCH-be56cf109f9deaa9,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_WATCH.pcap,11865,16,16,7,7,0,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,M1T_Camera_Power-09122daa7d244f73,data/raw/WiFI_and_MQTT/profiling/PCAP/Power/M1T_Camera_Power.pcap,413,6,6,2,2,0,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,M1T_Camera_WAN_MIC-81f4bd71b5e6453b,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_MIC.pcap,17354,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,M1T_Camera_WAN_PHOTO-3ed5188c39d7b60c,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_PHOTO.pcap,5769,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,M1T_Camera_WAN_RECORDING-24eb271fd02aef20,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_RECORDING.pcap,16442,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
profiling benign,M1T_Camera_WAN_WATCH-87c44d4b3f40c536,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_WATCH.pcap,15752,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
