group,pcap_path,pcap_id,feature,window_count,nonzero_count,nonzero_rate,mean,p50,p95,p99,max
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_request_ratio,6423,424,0.06601276661995951,0.05001009768780803,0.0,0.5,1.0,1.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_reply_ratio,6423,449,0.06990502880274015,0.0449610995720394,0.0,0.5,1.0,1.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_probe_ratio,6423,0,0.0,0.0,0.0,0.0,0.0,0.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_gratuitous_ratio,6423,14,0.002179666822357154,0.00020816669093421224,0.0,0.0,0.0,0.5
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_sender_ip_conflict_count,6423,7,0.001089833411178577,0.001089833411178577,0.0,0.0,0.0,1.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_sender_ip_conflict_ratio,6423,7,0.001089833411178577,0.0008303492656598681,0.0,0.0,0.0,1.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_max_macs_per_sender_ip,6423,610,0.09497119725984743,0.096061030671026,0.0,1.0,1.0,2.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_mapping_change_count,6423,7,0.001089833411178577,0.001089833411178577,0.0,0.0,0.0,1.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_eth_src_sha_mismatch_ratio,6423,0,0.0,0.0,0.0,0.0,0.0,0.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_unique_sender_ip_count,6423,610,0.09497119725984743,0.1815351082048887,0.0,1.0,4.0,8.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_unique_sender_mac_count,6423,610,0.09497119725984743,0.14930717733146504,0.0,1.0,3.0,5.0
spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_ratio,6423,610,0.09497119725984743,0.027712906741398077,0.0,0.08,0.96,1.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_request_ratio,41622,7118,0.1710153284320792,0.1286474387276036,0.0,1.0,1.0,1.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_reply_ratio,41622,5927,0.1424006535005526,0.09755505034067777,0.0,1.0,1.0,1.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_probe_ratio,41622,20,0.0004805151122002787,0.0002766298805652993,0.0,0.0,0.0,1.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_gratuitous_ratio,41622,1486,0.035702272836480704,0.02552849511819529,0.0,0.0,1.0,1.0
