group,feature,scope,window_count,nonzero_count,nonzero_rate,mean,p50,p95,p99,max
mqtt_malformed,mqtt_invalid_count,windows_with_mqtt,2010,1430,0.7114427860696517,10.789054726368159,9.0,31.0,39.0,48.0
mqtt_malformed,mqtt_incomplete_count,windows_with_mqtt,2010,1413,0.7029850746268657,7.882587064676617,7.0,20.0,22.0,23.0
mqtt_malformed,mqtt_invalid_ratio,windows_with_mqtt,2010,1430,0.7114427860696517,0.3451708821034344,0.43478260869565216,0.6666666666666666,0.75,1.0
mqtt_malformed,mqtt_incomplete_ratio,windows_with_mqtt,2010,1413,0.7029850746268657,0.26891711187238276,0.32432432432432434,0.5806451612903226,0.7142857142857144,1.0
mqtt_malformed,mqtt_invalid_fixed_header_count,windows_with_mqtt,2010,1422,0.7074626865671642,8.843781094527364,7.0,25.0,32.0,42.0
mqtt_malformed,mqtt_invalid_remaining_length_count,windows_with_mqtt,2010,996,0.4955223880597015,1.2134328358208955,0.0,4.0,6.0,9.0
mqtt_malformed,mqtt_invalid_publish_qos_count,windows_with_mqtt,2010,289,0.14378109452736318,0.16218905472636816,0.0,1.0,2.0,3.0
mqtt_malformed,mqtt_publish_wildcard_topic_count,windows_with_mqtt,2010,0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt_malformed,mqtt_invalid_publish_topic_count,windows_with_mqtt,2010,786,0.39104477611940297,0.6855721393034826,0.0,3.0,4.0,6.0
mqtt_malformed,mqtt_invalid_connect_count,windows_with_mqtt,2010,1039,0.5169154228855721,1.083084577114428,1.0,4.0,6.0,11.0
profiling benign,mqtt_invalid_count,windows_with_mqtt,109450,27589,0.25206943809958887,2.152032891731384,0.0,13.0,30.0,69.0
profiling benign,mqtt_incomplete_count,windows_with_mqtt,109450,24491,0.22376427592507994,1.2028414801279124,0.0,6.0,20.0,25.0
profiling benign,mqtt_invalid_ratio,windows_with_mqtt,109450,27589,0.25206943809958887,0.10677012871761565,0.0,0.6666666666666666,1.0,1.0
profiling benign,mqtt_incomplete_ratio,windows_with_mqtt,109450,24491,0.22376427592507994,0.050601166383017995,0.0,0.3684210526315789,0.5,1.0
profiling benign,mqtt_invalid_fixed_header_count,windows_with_mqtt,109450,27216,0.24866148926450435,1.767583371402467,0.0,11.0,25.0,64.0
profiling benign,mqtt_invalid_remaining_length_count,windows_with_mqtt,109450,14468,0.132188213796254,0.27779808131566924,0.0,2.0,4.0,11.0
profiling benign,mqtt_invalid_publish_qos_count,windows_with_mqtt,109450,1800,0.01644586569209685,0.019305619004111468,0.0,0.0,1.0,5.0
profiling benign,mqtt_publish_wildcard_topic_count,windows_with_mqtt,109450,0,0.0,0.0,0.0,0.0,0.0,0.0
profiling benign,mqtt_invalid_publish_topic_count,windows_with_mqtt,109450,6218,0.056811329374143446,0.0918501598903609,0.0,1.0,2.0,8.0
profiling benign,mqtt_invalid_connect_count,windows_with_mqtt,109450,24633,0.22506167199634536,0.8433622658748287,0.0,5.0,9.0,31.0
publisher benign,mqtt_invalid_count,windows_with_mqtt,73904,23149,0.31323067763585194,2.196755250054124,0.0,15.0,31.0,362.0
publisher benign,mqtt_incomplete_count,windows_with_mqtt,73904,18550,0.25100129898246376,1.3022299198960814,0.0,11.0,20.0,25.0
publisher benign,mqtt_invalid_ratio,windows_with_mqtt,73904,23149,0.31323067763585194,0.0810951898524401,0.0,0.5405405405405406,0.7,1.0
publisher benign,mqtt_incomplete_ratio,windows_with_mqtt,73904,18550,0.25100129898246376,0.04648551107899993,0.0,0.34782608695652173,0.5,1.0
publisher benign,mqtt_invalid_fixed_header_count,windows_with_mqtt,73904,21510,0.2910532582810132,1.7895242476726565,0.0,13.0,26.0,239.0
publisher benign,mqtt_invalid_remaining_length_count,windows_with_mqtt,73904,8354,0.11303853647975752,0.24769971855379952,0.0,2.0,4.0,36.0
publisher benign,mqtt_invalid_publish_qos_count,windows_with_mqtt,73904,1509,0.020418380601861876,0.03229865771812081,0.0,0.0,1.0,31.0
publisher benign,mqtt_publish_wildcard_topic_count,windows_with_mqtt,73904,0,0.0,0.0,0.0,0.0,0.0,0.0
publisher benign,mqtt_invalid_publish_topic_count,windows_with_mqtt,73904,4300,0.05818358952154146,0.15181857544923144,0.0,1.0,3.0,126.0
publisher benign,mqtt_invalid_connect_count,windows_with_mqtt,73904,19813,0.26809103702100023,0.6114148084000866,0.0,3.0,7.0,29.0
