pcap_path,filename,source,split,binary_label,attack_family,attack_type,profiling_type,profiling_variant,device,capture_session,packet_count,total_frame_bytes,min_frame_length,max_frame_length,mean_frame_length,capture_order_duration,capture_timestamp_span,packets_per_second,bytes_per_second,tcp_count,udp_count,arp_count,llc_count,ipv4_count,ipv6_count,icmp_count,icmpv6_count,igmp_count,vlan_count,tcp_ratio,udp_ratio,arp_ratio,llc_ratio,ipv4_ratio,ipv6_ratio,icmp_ratio,icmpv6_ratio,igmp_ratio,vlan_ratio,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_syn_ratio,tcp_ack_ratio,tcp_fin_ratio,tcp_rst_ratio,tcp_psh_ratio,unique_src_ips_count,unique_src_ips_capped,unique_dst_ips_count,unique_dst_ips_capped,unique_src_ports_count,unique_dst_ports_count,audit_strategy_version
data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train.pcap,attacks,train,ATTACK,Spoofing,ARP_Spoofing,,,,ARP_Spoofing,160614,77430345,42,1514,482.08963726698795,6190.541867017746,6190.541867017746,25.9450632029042,12507.846108357164,83988,72080,4451,5,155977,172,63,18,0,0,0.5229183010198364,0.44877781513442166,0.02771240365098933,3.113053656592825e-05,0.9711295403887581,0.0010708904578679318,0.000392244760730696,0.0001120699316373417,0.0,0.0,322,83658,280,146,22892,0.0038338810306234226,0.9960708672667524,0.0033338095918464543,0.0017383435728913655,0.27256274705910366,122,False,362,False,782,444,phase1b2_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,Benign_train.pcap,attacks,train,BENIGN,,,,,,Benign,1935680,364029547,42,1514,188.06287557860804,79394.10720801353,79394.10720801353,24.380650756969843,4585.095289833515,1745614,149711,39000,55,1888141,8144,203,465,292,0,0.9018091833360886,0.07734284592494627,0.020147958340221525,2.841378740287651e-05,0.9754406720119028,0.004207306992891387,0.00010487270623243512,0.00024022565713341048,0.00015085138039345347,0.0,4162,1743141,3902,2254,801021,0.0023842613544575145,0.998583306504187,0.0022353166278455605,0.0012912362068590191,0.4588763609824394,288,False,215,False,4800,7333,phase1b2_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,MQTT-DDoS-Connect_Flood_train.pcap,attacks,train,ATTACK,MQTT,MQTT_DDoS_Connect_Flood,,,,MQTT_DDoS_Connect_Flood,17295946,1197264886,42,1514,69.22228399649259,535.5687708854675,535.5687708854675,32294.5379571035,2235501.6780021284,17295068,530,346,0,17295550,49,0,1,0,0,0.9999492366592726,3.064301889009135e-05,2.0004687803720015e-05,0.0,0.9999771044613576,2.8330338219141065e-06,0.0,5.781701677375727e-08,0.0,0.0,3490026,12414137,3428451,3249752,3450018,0.20179313547654162,0.7177848043153111,0.19823287193782643,0.1879005043518765,0.1994798748406193,57,False,54,False,14182,14175,phase1b2_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Publish_Flood_train.pcap,MQTT-DDoS-Publish_Flood_train.pcap,attacks,train,ATTACK,MQTT,MQTT_DDoS_Publish_Flood,,,,MQTT_DDoS_Publish_Flood,2754292,1511931364,42,1514,548.9364831325074,526.0638999938965,526.0638999938965,5235.660534836084,2874045.0808685822,2753549,492,249,0,2754003,38,0,0,0,0,0.9997302392048483,0.00017863029773168568,9.040435799835311e-05,0.0,0.9998950728535682,1.3796649011796862e-05,0.0,0.0,0.0,0.0,135544,2005976,47878,686164,1016417,0.04922519991472823,0.7285056485284991,0.017387742146589728,0.2491925874571326,0.3691298030287458,58,False,53,False,14183,14179,phase1b2_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Connect_Flood_train.pcap,MQTT-DoS-Connect_Flood_train.pcap,attacks,train,ATTACK,MQTT,MQTT_DoS_Connect_Flood,,,,MQTT_DoS_Connect_Flood,1276947,89568843,42,1474,70.14296051441445,418.13955211639404,418.13955211639404,3053.87757158296,214208.01391939947,1276314,399,223,0,1276679,45,0,6,5,0,0.9995042863955983,0.00031246402552337723,0.00017463528243537123,0.0,0.9997901244139342,3.524030363045608e-05,0.0,4.698707150727477e-06,3.915589292272898e-06,0.0,294260,1035356,94055,192597,297399,0.230554550055864,0.8112079002502519,0.0736926806412842,0.1509009538405126,0.23301397618454392,47,False,48,False,14163,14158,phase1b2_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Publish_Flood_train.pcap,MQTT-DoS-Publish_Flood_train.pcap,attacks,train,ATTACK,MQTT,MQTT_DoS_Publish_Flood,,,,MQTT_DoS_Publish_Flood,4431579,1157094840,42,1514,261.1021579441549,540.2637422084808,540.2637422084808,8202.621523118814,2141722.1804854935,4430737,519,318,1,4431214,44,0,2,0,0,0.9998100000022565,0.00011711401286087871,7.175771886273493e-05,2.2565320397086457e-07,0.9999176365805507,9.928740974718041e-06,0.0,4.5130640794172914e-07,0.0,0.0,274,4430573,38,19,2297051,6.184072762612631e-05,0.9999629858418588,8.576451276616057e-06,4.2882256383080285e-06,0.5184354205632156,60,False,55,False,224,214,phase1b2_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-Malformed_Data_train.pcap,MQTT-Malformed_Data_train.pcap,attacks,train,ATTACK,MQTT,MQTT_Malformed_Data,,,,MQTT_Malformed_Data,51332,33178687,42,1514,646.3548468791397,439.8516070842743,439.8516070842743,116.70299522212485,75431.54660713348,50546,495,289,0,50997,45,1,0,0,0,0.9846879139717915,0.009643107613184758,0.005630016364061404,0.0,0.9934738564638043,0.0008766461466531598,1.948102548118133e-05,0.0,0.0,0.0,1329,48752,1300,1130,8268,0.026292881731492107,0.9645075772563605,0.025719146915680766,0.02235587385747636,0.16357377438372966,64,False,61,False,775,764,phase1b2_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-OS_Scan_train.pcap,Recon-OS_Scan_train.pcap,attacks,train,ATTACK,Recon,OS_Scan,,,,OS_Scan,168400,11305597,42,1514,67.13537410926365,862.4178249835968,862.4178249835968,195.26498075709762,13109.187533565917,165678,1334,752,1,167553,91,620,7,5,0,0.9838361045130641,0.007921615201900238,0.0044655581947743465,5.938242280285035e-06,0.9949703087885986,0.0005403800475059382,0.003681710213776722,4.156769596199525e-05,2.9691211401425178e-05,0.0,72818,92342,386,70857,10993,0.43951520419126255,0.5573582491338621,0.0023298204951773924,0.4276789917792344,0.06635159767742246,60,False,59,False,1929,1836,phase1b2_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-Ping_Sweep_train.pcap,Recon-Ping_Sweep_train.pcap,attacks,train,ATTACK,Recon,Ping_Sweep,,,,Ping_Sweep,7406,525753,42,1474,70.99014312719417,90.63233709335327,90.63233709335327,81.71476359890907,5800.942763491391,1908,99,5269,0,2126,9,128,0,0,0,0.2576289495004051,0.013367539832568187,0.7114501755333513,0.0,0.28706454226302996,0.0012152308938698352,0.017283283823926545,0.0,0.0,0.0,4,1904,5,4,946,0.0020964360587002098,0.9979035639412998,0.002620545073375262,0.0020964360587002098,0.49580712788259956,44,False,278,False,64,62,phase1b2_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-Port_Scan_train.pcap,Recon-Port_Scan_train.pcap,attacks,train,ATTACK,Recon,Port_Scan,,,,Port_Scan,839912,67561430,42,1514,80.43870072102791,2610.8276541233063,2610.8276541233063,321.7033490025734,25877.399411370396,799221,39530,1112,1,838661,134,20,14,10,0,0.9515532579603577,0.04706445437141034,0.0013239482231471868,1.1906009200963911e-06,0.9985105582489594,0.0001595405232929164,2.381201840192782e-05,1.6668412881349475e-05,1.190600920096391e-05,0.0,385299,413957,116,382170,16564,0.4820931882420507,0.5179506044010355,0.00014514133137142292,0.478178125950144,0.02072518114514008,95,False,90,False,65535,65535,phase1b2_v1
